"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Leg Raise Parallel Bars",,"",0,"normal",,15,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Leg Raise Parallel Bars",,"",1,"normal",,15,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Leg Raise Parallel Bars",,"",2,"normal",,15,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Leg Raise Parallel Bars",,"",3,"normal",,15,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Decline Crunch (Weighted)",,"",0,"normal",10,12,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Decline Crunch (Weighted)",,"",1,"normal",10,16,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Decline Crunch (Weighted)",,"",2,"normal",15,16,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Decline Crunch (Weighted)",,"",3,"normal",15,12,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Arnold Press (Dumbbell)",,"",0,"normal",36,12,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Arnold Press (Dumbbell)",,"",1,"normal",48,12,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Arnold Press (Dumbbell)",,"",2,"normal",52,9,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Arnold Press (Dumbbell)",,"",3,"normal",52,8,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",66,12,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",66,12,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",73,10,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Rear Delt Reverse Fly (Machine)",,"",3,"normal",73,10,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Lateral Raise (Dumbbell)",,"",0,"normal",32,10,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Lateral Raise (Dumbbell)",,"",1,"dropset",18,10,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Lateral Raise (Dumbbell)",,"",2,"normal",32,10,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Lateral Raise (Dumbbell)",,"",3,"dropset",18,10,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Lateral Raise (Dumbbell)",,"",4,"normal",32,12,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Lateral Raise (Dumbbell)",,"",5,"dropset",18,12,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Lateral Raise (Dumbbell)",,"",6,"normal",32,10,,,
"Shoulders","12 Dec 2024, 13:18","12 Dec 2024, 14:27","","Lateral Raise (Dumbbell)",,"",7,"normal",18,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Back Extension (Weighted Hyperextension)",,"",0,"warmup",,12,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Back Extension (Weighted Hyperextension)",,"",1,"normal",20,12,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Back Extension (Weighted Hyperextension)",,"",2,"normal",30,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Back Extension (Weighted Hyperextension)",,"",3,"normal",35,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",29,12,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",32,8,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",32,7,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Straight Arm Lat Pulldown (Cable)",,"",3,"normal",32,6,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",84,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",84,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",88,8,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Chest Supported Incline Row (Dumbbell)",,"",3,"normal",88,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Lat Pulldown (Cable)",,"",0,"normal",73,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Lat Pulldown (Cable)",,"",1,"normal",79,8,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Lat Pulldown (Cable)",,"",2,"normal",79,8,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Lat Pulldown (Cable)",,"",3,"normal",86,8,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Hammer Curl (Dumbbell)",,"",0,"normal",32,12,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Hammer Curl (Dumbbell)",,"",1,"normal",32,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Hammer Curl (Dumbbell)",,"",2,"normal",36,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Hammer Curl (Dumbbell)",,"",3,"normal",36,12,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",79,10,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",79,8,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",79,8,,,
"Back","10 Dec 2024, 22:04","10 Dec 2024, 23:24","","Seated Cable Row - V Grip (Cable)",,"",3,"normal",86,8,,,
"Chest","9 Dec 2024, 18:04","9 Dec 2024, 19:01","","Bench Press (Barbell)",,"",0,"warmup",60,8,,,
"Chest","9 Dec 2024, 18:04","9 Dec 2024, 19:01","","Bench Press (Barbell)",,"",1,"warmup",80,6,,,
